"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"sec13",5.79979785603634,14.8368559238092,8.08485607541976,0,0,0,17.6567354860549,0,41.8556084914123,1.68269970461008,2.16773459490436,4.34744245248264
"sec14l7",1.93326595201211,13.2471927891154,0,2.14644146109807,0,0,0,0,0,6.73079881844031,15.1741421643305,7.82539641446875
"sec22a",152.728010208957,49.8094448870739,12.5764427839863,0.715480487032689,0,0,0,0,0.664374737958925,1.68269970461008,2.16773459490436,1.73897698099305
"sec22ba",168.194137825054,78.9532690231278,105.103128980457,198.188094908055,0,0,3.92371899690109,4.15901538030019,1.99312421387678,216.226912042395,201.599317326106,139.987646969941
"sec22bb",7.73306380804846,18.0161821931969,6.28822139199315,6.4393243832942,0,0,3.92371899690109,8.31803076060038,12.6231200212196,3.36539940922016,1.08386729745218,10.4338618859583
"sec22c",115.995957120727,41.8611292136047,3.59326936685323,22.1798950980134,0,0,0,0,0.664374737958925,0,4.33546918980872,0
"sec23a",5.79979785603634,27.0242732897954,5.38990405027984,0.715480487032689,7.85339774554392,15.1554381480741,9.80929749225271,54.0671999439025,85.0399664587424,5.04809911383024,0,5.21693094297916
"sec23b",5.79979785603634,13.77708050068,0.898317341713307,5.00836340922882,0,0,0,20.795076901501,17.2737431869321,4.2067492615252,0,0.869488490496527
"sec23ip",7.73306380804846,3.70921398095231,450.95530554008,589.555921314936,42.8367149756941,36.8060640738942,100.054834420978,245.381907437711,49.1637306089605,588.103546761222,462.811336012081,473.001738830111
"sec24a",1.93326595201211,2.64943855782308,0,3.57740243516345,0,0,5.88557849535163,4.15901538030019,19.9312421387678,4.2067492615252,1.08386729745218,1.73897698099305
"sec24b",1.93326595201211,25.9644978666662,1.79663468342661,1.43096097406538,0,0,3.92371899690109,8.31803076060038,10.6299958073428,3.36539940922016,0,0
"sec24c",0,0,5.38990405027984,5.00836340922882,0,0,7.84743799380217,12.4770461409006,19.9312421387678,3.36539940922016,3.25160189235654,4.34744245248264
"sec24d",34.7987871362181,27.55416100136,92.5266861964706,178.870121758172,0.713945249594902,13.4233880740085,70.6269419442195,74.8622768454035,34.5474863738641,9.25484837535543,10.8386729745218,8.69488490496527
"sec31a",7.73306380804846,24.3748347319723,0.898317341713307,1.43096097406538,0.713945249594902,9.09326288884446,11.7711569907033,12.4770461409006,13.9518694971374,2.52404955691512,0,2.60846547148958
"sec31b",1.93326595201211,11.1276419428569,3.59326936685323,1.43096097406538,0,0,9.80929749225271,4.15901538030019,16.6093684489731,0.841349852305039,1.08386729745218,0
"sec61b",0,0,1.79663468342661,0,0,0,0,8.31803076060038,40.5268590154944,3.36539940922016,1.08386729745218,4.34744245248264
"sec61g",438.85137110675,138.300692718365,141.035822648989,127.355526691819,20.7044122382522,30.7438888146646,72.5888014426701,719.509660791933,138.189945495456,104.327381685825,121.393137314644,174.767186589802
"sec62",5.79979785603634,21.7253961741493,27.8478375931125,20.748934123948,29.9857004829859,30.3108762961482,37.2753304705603,12.4770461409006,25.2462400424392,13.4615976368806,9.75480567706962,11.3033503764549
"sec63",0,0,8.08485607541976,2.14644146109807,0,0,15.6948759876043,16.6360615212008,29.2324884701927,2.52404955691512,3.25160189235654,3.47795396198611
"sel1l",0,0,1.79663468342661,0.715480487032689,0,0,3.92371899690109,24.9540922818012,5.97937264163033,2.52404955691512,0,0
"selenof",0,0,5.38990405027984,2.14644146109807,17.1346859902776,16.4544757036233,1.96185949845054,0,18.6024926628499,0.841349852305039,6.50320378471308,2.60846547148958
"selenoi",1.93326595201211,16.9564067700677,1.79663468342661,0.715480487032689,0,0,0,0,0.664374737958925,7.57214867074535,2.16773459490436,1.73897698099305
"selenom",3.86653190402423,10.5977542312923,0.898317341713307,0,0,0,0,4.15901538030019,106.299958073428,0.841349852305039,3.25160189235654,0
"selenon",3.86653190402423,4.23910169251693,0,0,0,0,0,0,14.6162442350964,1.68269970461008,0,0.869488490496527
