Gene	Ab_5_Eye	Ab_6_Eye
ENSHBUG00000000732	0	0
ENSHBUG00000000733	3	10
ENSHBUG00000000734	1	43
ENSHBUG00000000735	1	27
ENSHBUG00000000736	1	31
ENSHBUG00000000737	19	32
ENSHBUG00000000738	221	252
ENSHBUG00000000739	0	0
ENSHBUG00000000740	0	0
ENSHBUG00000000741	2	32
ENSHBUG00000000742	0	0
ENSHBUG00000000743	121	156
ENSHBUG00000000744	30	48
ENSHBUG00000000745	23	34
ENSHBUG00000000746	34	63
ENSHBUG00000000747	0	0
ENSHBUG00000000748	1	7
ENSHBUG00000000749	0	0
ENSHBUG00000000750	0	0
ENSHBUG00000000751	0	0
ENSHBUG00000000752	3	47
ENSHBUG00000000753	0	0
ENSHBUG00000000754	0	0
ENSHBUG00000000755	0	0
ENSHBUG00000000756	280	310
ENSHBUG00000000757	0	0
ENSHBUG00000000758	0	0
ENSHBUG00000000759	0	0
ENSHBUG00000000760	1	46
ENSHBUG00000000761	0	0
ENSHBUG00000000762	0	0
ENSHBUG00000000763	1	2
ENSHBUG00000000764	0	0
ENSHBUG00000000765	0	0
ENSHBUG00000000766	7	14
ENSHBUG00000000767	0	0
ENSHBUG00000000768	0	0
ENSHBUG00000000769	4	43
ENSHBUG00000000770	2	9
ENSHBUG00000000771	1	15
ENSHBUG00000000772	0	0
ENSHBUG00000000773	0	0
ENSHBUG00000000774	2	5
ENSHBUG00000000775	0	0
ENSHBUG00000000776	0	0
ENSHBUG00000000777	183	185
ENSHBUG00000000778	1	8
ENSHBUG00000000779	0	0
ENSHBUG00000000780	1	37
ENSHBUG00000000781	0	0
ENSHBUG00000000782	0	0
ENSHBUG00000000783	76	92
ENSHBUG00000000784	0	0
ENSHBUG00000000785	0	0
ENSHBUG00000000786	0	0
ENSHBUG00000000787	0	0
ENSHBUG00000000788	0	0
ENSHBUG00000000789	1	10
ENSHBUG00000000790	0	0
ENSHBUG00000000791	0	0
ENSHBUG00000000792	0	0
ENSHBUG00000000793	2	46
ENSHBUG00000000794	0	0
ENSHBUG00000000795	0	0
ENSHBUG00000000796	3	42
ENSHBUG00000000797	1128	1170
ENSHBUG00000000798	0	0
ENSHBUG00000000799	0	0
ENSHBUG00000000800	1	14
ENSHBUG00000000801	2	25
ENSHBUG00000000802	0	0
ENSHBUG00000000803	60	107
ENSHBUG00000000804	0	0
ENSHBUG00000000805	0	0
ENSHBUG00000000806	0	0
ENSHBUG00000000807	1	29
ENSHBUG00000000808	2	34
ENSHBUG00000000809	320	329
ENSHBUG00000000810	0	0
ENSHBUG00000000811	3	21
ENSHBUG00000000812	0	0
ENSHBUG00000000813	1	49
ENSHBUG00000000814	0	0
ENSHBUG00000000815	0	0
ENSHBUG00000000816	1	9
ENSHBUG00000000817	0	0
ENSHBUG00000000818	32	46
ENSHBUG00000000819	0	0
ENSHBUG00000000820	0	0
ENSHBUG00000000821	7	30
ENSHBUG00000000822	0	0
ENSHBUG00000000823	1	27
ENSHBUG00000000824	11	30
ENSHBUG00000000825	0	0
ENSHBUG00000000826	10	48
ENSHBUG00000000827	0	0
ENSHBUG00000000828	0	0
ENSHBUG00000000829	3	41
ENSHBUG00000000830	0	0
ENSHBUG00000000831	15	57
ENSHBUG00000000832	0	0
ENSHBUG00000000833	93	102
ENSHBUG00000000834	0	0
ENSHBUG00000000835	0	0
ENSHBUG00000000836	0	0
ENSHBUG00000000837	1	20
ENSHBUG00000000838	0	0
ENSHBUG00000000839	0	0
ENSHBUG00000000840	11	13
ENSHBUG00000000841	1	27
ENSHBUG00000000842	0	0
ENSHBUG00000000843	0	0
ENSHBUG00000000844	0	0
ENSHBUG00000000845	0	0
ENSHBUG00000000846	1	5
ENSHBUG00000000847	0	0
ENSHBUG00000000848	2	32
ENSHBUG00000000849	0	0
ENSHBUG00000000850	0	0
ENSHBUG00000000851	2	14
ENSHBUG00000000852	2	20
ENSHBUG00000000853	0	0
ENSHBUG00000000854	6	30
ENSHBUG00000000855	0	0
ENSHBUG00000000856	1	36
ENSHBUG00000000857	49	55
ENSHBUG00000000858	1	25
ENSHBUG00000000859	2	50
ENSHBUG00000000860	0	0
ENSHBUG00000000861	1	15
ENSHBUG00000000862	0	0
ENSHBUG00000000863	1	40
