Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000000779	3	0	0
ENSONIG00000000780	0	4	13
ENSONIG00000000782	0	1	17
ENSONIG00000000783	2	2	28
ENSONIG00000000784	1	1	7
ENSONIG00000000785	0	1	30
ENSONIG00000000787	1	1	0
ENSONIG00000000788	0	0	0
ENSONIG00000000789	0	0	0
ENSONIG00000000790	0	2	13
ENSONIG00000000791	2	0	6
ENSONIG00000000792	11	1	19
ENSONIG00000000793	3	1	20
ENSONIG00000000794	0	6	62
ENSONIG00000000795	23	4	70
ENSONIG00000000796	32	7	121
ENSONIG00000000798	3	4	11
ENSONIG00000000799	0	0	0
ENSONIG00000000800	0	2	2
ENSONIG00000000801	3	0	63
ENSONIG00000000802	2	6	27
ENSONIG00000000804	0	0	1
ENSONIG00000000806	0	0	10
ENSONIG00000000807	0	2	8
ENSONIG00000000808	6	6	2
ENSONIG00000000810	0	1	16
ENSONIG00000000811	6	0	9
ENSONIG00000000812	1	0	1
ENSONIG00000000814	1	1	46
ENSONIG00000000815	1	1	5
ENSONIG00000000816	11	0	3
ENSONIG00000000817	0	2	5
ENSONIG00000000818	2	0	3
ENSONIG00000000819	215	14	211
ENSONIG00000000820	0	5	9
ENSONIG00000000821	0	0	3
ENSONIG00000000822	0	0	2
ENSONIG00000000823	3	4	16
ENSONIG00000000824	1	1	2
ENSONIG00000000825	0	1	10
ENSONIG00000000827	0	0	1
ENSONIG00000000828	4	3	24
ENSONIG00000000830	1	0	0
ENSONIG00000000831	0	0	5
ENSONIG00000000832	6	4	14
ENSONIG00000000834	337	3	6
ENSONIG00000000835	1	2	13
ENSONIG00000000836	0	0	11
ENSONIG00000000839	0	2	5
ENSONIG00000000840	0	0	0
ENSONIG00000000841	3	0	54
ENSONIG00000000843	0	0	28
ENSONIG00000000844	0	0	1
ENSONIG00000000845	0	1	8
ENSONIG00000000847	3	13	8
ENSONIG00000000848	0	0	0
ENSONIG00000000850	0	0	22
ENSONIG00000000852	1	0	10
ENSONIG00000000853	2	0	0
ENSONIG00000000854	11	32	1263
ENSONIG00000000855	3	1	116
ENSONIG00000000856	19	1	7
ENSONIG00000000857	3	0	11
ENSONIG00000000859	0	2	59
ENSONIG00000000860	0	1	6
ENSONIG00000000861	8	0	0
ENSONIG00000000863	2	1	15
ENSONIG00000000866	0	2	0
ENSONIG00000000867	18	9	12
ENSONIG00000000868	10	5	27
ENSONIG00000000870	2	6	23
ENSONIG00000000871	2	3	6
ENSONIG00000000872	0	0	1
ENSONIG00000000873	3	0	18
ENSONIG00000000876	25	25	41
ENSONIG00000000877	1	1	99
ENSONIG00000000878	2	3	6
ENSONIG00000000880	0	0	3
ENSONIG00000000882	0	0	0
ENSONIG00000000883	0	0	11
ENSONIG00000000884	11	9	87
ENSONIG00000000888	0	0	0
ENSONIG00000000889	2	3	8
ENSONIG00000000890	1	0	1
ENSONIG00000000891	0	0	0
ENSONIG00000000892	0	0	1
ENSONIG00000000893	0	0	0
ENSONIG00000000894	0	0	0
ENSONIG00000000895	8	3	9
ENSONIG00000000896	46	15	143
ENSONIG00000000897	0	5	35
ENSONIG00000000898	5	0	2
ENSONIG00000000899	0	0	6
ENSONIG00000000900	18	39	1247
ENSONIG00000000901	2	4	204
ENSONIG00000000902	2	0	9
ENSONIG00000000903	1	0	7
ENSONIG00000000904	8	0	4
ENSONIG00000000905	1	0	0
ENSONIG00000000907	1	0	31
ENSONIG00000000908	3	0	3
ENSONIG00000000909	0	0	0
ENSONIG00000000911	0	0	0
ENSONIG00000000912	9	4	28
ENSONIG00000000913	4	30	833
ENSONIG00000000914	8	17	164
ENSONIG00000000915	0	0	0
ENSONIG00000000916	0	0	6
ENSONIG00000000917	4	20	59
ENSONIG00000000918	3	0	3
ENSONIG00000000919	11	3	4
ENSONIG00000000923	3	3	32
ENSONIG00000000924	2	0	21
ENSONIG00000000925	43	138	1173
ENSONIG00000000927	1	9	25
ENSONIG00000000928	71	18	21
ENSONIG00000000929	0	7	15
ENSONIG00000000931	2	1	9
ENSONIG00000000932	5	5	369
ENSONIG00000000933	2	0	1
ENSONIG00000000934	38	149	62
ENSONIG00000000935	0	3	11
ENSONIG00000000936	14	4	261
ENSONIG00000000939	1	0	12
ENSONIG00000000940	16	1	5
ENSONIG00000000941	0	0	0
ENSONIG00000000942	0	0	0
ENSONIG00000000943	0	0	0
ENSONIG00000000944	0	0	0
ENSONIG00000000945	0	0	0
ENSONIG00000000946	0	0	0
ENSONIG00000000947	0	0	0
ENSONIG00000000948	0	0	5
ENSONIG00000000949	1	0	10
ENSONIG00000000950	0	0	0
ENSONIG00000000951	22	31	1632
ENSONIG00000000952	0	3	17
ENSONIG00000000953	0	0	0
ENSONIG00000000954	0	0	0
